onset	duration	reaction_time	trial_number	trial_type	button_pressed	action	explode_trial	trial_value	trial_cumulative_value	payoff_level	onset_noTriggerAdjust
140.895049417	0.473513320000166	0.473513320000166	9	BALOON	5	ACCEPT	0	5	5	5	140.895049417
142.64901312	0.285549406999962	0.285549406999962	9	BALOON	5	ACCEPT	0	5	10	5	142.64901312
144.469169528	0.376391454999975	0.376391454999975	9	BALOON	5	ACCEPT	0	5	15	5	144.469169528
147.067045888	1.23451842200006	1.23451842200006	9	BALOON	28	CASHOUT	0	0	15	5	147.067045888
159.510304008	0.422271560999889	0.422271560999889	10	BALOON	5	ACCEPT	1	5	5	5	159.510304008
162.935496135	0.380114876999869	0.380114876999869	10	BALOON	5	ACCEPT	1	5	10	5	162.935496135
165.119698198	0.395874512000091	0.395874512000091	10	BALOON	5	ACCEPT	1	5	15	5	165.119698198
168.462149743	0.319418275999851	0.319418275999851	10	BALOON	5	ACCEPT	1	5	20	5	168.462149743
170.69600442	0.597562453999899	0.597562453999899	10	BALOON	5	ACCEPT	1	5	25	5	170.69600442
173.873033566	0	0	10	BALOON	n/a	EXPLODE	1	0	25	5	173.873033566
187.689640415	0.507923807999987	0.507923807999987	11	BALOON	5	ACCEPT	0	5	5	5	187.689640415
189.526336866	0.475230481999915	0.475230481999915	11	BALOON	5	ACCEPT	0	5	10	5	189.526336866
191.59468073	0.376892123000061	0.376892123000061	11	BALOON	5	ACCEPT	0	5	15	5	191.59468073
193.663074233	0.540501790000008	0.540501790000008	11	BALOON	5	ACCEPT	0	5	20	5	193.663074233
197.286843216	0.56573556100011	0.56573556100011	11	BALOON	28	CASHOUT	0	0	20	5	197.286843216
203.343013632	0.538563070999999	0.538563070999999	12	BALOON	5	ACCEPT	1	5	5	5	203.343013632
205.858157007	0	0	12	BALOON	n/a	EXPLODE	1	0	5	5	205.858157007
213.933001508	0.436568932	0.436568932	13	BALOON	5	ACCEPT	0	5	5	5	213.933001508
216.828687195	0.365868610000007	0.365868610000007	13	BALOON	5	ACCEPT	0	5	10	5	216.828687195
218.417193041	0.435379823999938	0.435379823999938	13	BALOON	5	ACCEPT	0	5	15	5	218.417193041
221.097804888	0.642776183000024	0.642776183000024	13	BALOON	5	ACCEPT	0	5	20	5	221.097804888
223.331618183	0.715953579999905	0.715953579999905	13	BALOON	28	CASHOUT	0	0	20	5	223.331618183
234.451136274	0.790436516999989	0.790436516999989	14	BALOON	5	ACCEPT	0	5	5	5	234.451136274
238.223817205	1.18778385199994	1.18778385199994	14	BALOON	5	ACCEPT	0	5	10	5	238.223817205
241.367732567	0.565844854000034	0.565844854000034	14	BALOON	5	ACCEPT	0	5	15	5	241.367732567
244.164148411	0.868425006999814	0.868425006999814	14	BALOON	28	CASHOUT	0	0	15	5	244.164148411
251.246209797	0.405366080000022	0.405366080000022	15	BALOON	5	ACCEPT	0	5	5	5	251.246209797
254.158470457	0.451153632999876	0.451153632999876	15	BALOON	5	ACCEPT	0	5	10	5	254.158470457
255.912423889	0.429163974999938	0.429163974999938	15	BALOON	5	ACCEPT	0	5	15	5	255.912423889
258.841254527	0.784337956999934	0.784337956999934	15	BALOON	5	ACCEPT	0	5	20	5	258.841254527
262.514629544	0.459958658000005	0.459958658000005	15	BALOON	28	CASHOUT	0	0	20	5	262.514629544
266.701015628	0.364566943	0.364566943	16	BALOON	5	ACCEPT	1	5	5	5	266.701015628
270.175984078	0	0	16	BALOON	n/a	EXPLODE	1	0	5	5	270.175984078
282.073107412	1.02347667599997	1.02347667599997	17	CONTROL	5	ACCEPT	1	0	0	0	282.073107412
285.200469488	1.43711891099974	1.43711891099974	17	CONTROL	5	ACCEPT	1	0	0	0	285.200469488
294.119183455	0.857405633999861	0.857405633999861	18	BALOON	5	ACCEPT	1	5	5	5	294.119183455
296.25375123	0.497834017000059	0.497834017000059	18	BALOON	5	ACCEPT	1	5	10	5	296.25375123
298.338664736	0	0	18	BALOON	n/a	EXPLODE	1	0	10	5	298.338664736
304.394815979	0.480768163999983	0.480768163999983	19	BALOON	5	ACCEPT	1	5	5	5	304.394815979
307.91930769	0.532290576999912	0.532290576999912	19	BALOON	5	ACCEPT	1	5	10	5	307.91930769
310.020753311	0.540839136999693	0.540839136999693	19	BALOON	5	ACCEPT	1	5	15	5	310.020753311
312.436640267	0	0	19	BALOON	n/a	EXPLODE	1	0	15	5	312.436640267
319.750299504	0.587292967999929	0.587292967999929	20	CONTROL	5	ACCEPT	1	0	0	0	319.750299504
321.669799139	0.395793459999823	0.395793459999823	20	CONTROL	5	ACCEPT	1	0	0	0	321.669799139
324.168464992	1.06112329799998	1.06112329799998	20	CONTROL	5	ACCEPT	1	0	0	0	324.168464992
327.957642597	0.307942523999827	0.307942523999827	20	CONTROL	5	ACCEPT	1	0	0	0	327.957642597
330.621660778	0.275941769000383	0.275941769000383	20	CONTROL	5	ACCEPT	1	0	0	0	330.621660778
332.110870987	0.532721020999816	0.532721020999816	20	CONTROL	5	ACCEPT	1	0	0	0	332.110870987
334.195792128	0.301798747999783	0.301798747999783	20	CONTROL	5	ACCEPT	1	0	0	0	334.195792128
343.577831743	0.731763995000165	0.731763995000165	21	CONTROL	5	ACCEPT	1	0	0	0	343.577831743
347.185094755	0.340481961000023	0.340481961000023	21	CONTROL	5	ACCEPT	1	0	0	0	347.185094755
350.643380413	0.586216530000002	0.586216530000002	21	CONTROL	5	ACCEPT	1	0	0	0	350.643380413
357.444113658	0.622481939999943	0.622481939999943	22	BALOON	5	ACCEPT	1	5	5	5	357.444113658
359.810366632	0.487235883000267	0.487235883000267	22	BALOON	5	ACCEPT	1	5	10	5	359.810366632
362.143429303	0.242167500999585	0.242167500999585	22	BALOON	5	ACCEPT	1	5	15	5	362.143429303
364.029838248	0	0	22	BALOON	n/a	EXPLODE	1	0	15	5	364.029838248
377.168042357	0.657551914999658	0.657551914999658	23	CONTROL	5	ACCEPT	1	0	0	0	377.168042357
380.891070126	0.403565313999934	0.403565313999934	23	CONTROL	5	ACCEPT	1	0	0	0	380.891070126
384.217016494	0.7115904340003	0.7115904340003	23	CONTROL	5	ACCEPT	1	0	0	0	384.217016494
386.401238531	0.664368812000248	0.664368812000248	23	CONTROL	5	ACCEPT	1	0	0	0	386.401238531
389.694030269	0.469569175999823	0.469569175999823	23	CONTROL	5	ACCEPT	1	0	0	0	389.694030269
392.589738665	0.537859349999962	0.537859349999962	23	CONTROL	5	ACCEPT	1	0	0	0	392.589738665
394.724264717	0.37335227199992	0.37335227199992	23	CONTROL	5	ACCEPT	1	0	0	0	394.724264717
